,TEAM,WT,LT,TIE_PC,PT_DIFF,Wins,Losses,WP,EXPECTED_WIN,EXPECTED_WP,WT_v_WP,WT_v_EXP_WP
0,ATL,0.45486078345000003,0.48355837269999996,0.06158084385000001,3.2,7,7,0.5,48.7,0.5939024390243903,-0.04513921654999997,-0.1390416555743903
1,BOS,0.7327090269869281,0.21710175428104575,0.05018921873202614,9.3,12,4,0.75,62.3,0.7597560975609756,-0.01729097301307192,-0.027047070574047538
2,BRK,0.3765963487333333,0.5612264152,0.06217723606666668,-1.0,6,8,0.429,38.5,0.4695121951219512,-0.052403651266666684,-0.09291584638861788
3,CHI,0.21775710456790123,0.7270189115740741,0.055223983858024704,-5.6,5,12,0.294,27.3,0.3329268292682927,-0.07624289543209875,-0.11516972470039147
4,CHO,0.24050751226666664,0.7124087177333334,0.04708377000000003,-7.1,5,9,0.35700000000000004,24.6,0.30000000000000004,-0.1164924877333334,-0.059492487733333405
5,CLE,0.513080391,0.417641033,0.069278576,-1.2,8,7,0.5329999999999999,38.0,0.4634146341463415,-0.019919608999999894,0.04966575685365854
6,DAL,0.473912037,0.47113425933333336,0.054953703666666645,2.9,10,5,0.667,48.0,0.5853658536585366,-0.19308796300000003,-0.11145381665853654
7,DEN,0.5885620915294119,0.360866013006536,0.05057189546405229,1.5,10,6,0.625,44.7,0.5451219512195122,-0.03643790847058814,0.04344014030989962
8,DET,0.3210720484861111,0.633289930486111,0.045638021027777774,-8.8,2,14,0.125,20.6,0.25121951219512195,0.1960720484861111,0.06985253629098914
9,GSW,0.43951512201960785,0.4763075748104575,0.08417730316993463,0.4,8,9,0.47100000000000003,42.0,0.5121951219512195,-0.03148487798039218,-0.07267999993161167
10,HOU,0.5578262578074075,0.3869579838666667,0.05521575832592594,7.8,8,6,0.5710000000000001,59.8,0.7292682926829268,-0.013173742192592597,-0.17144203487551934
11,IND,0.49918981498941795,0.44083994698941803,0.059970238021164024,2.1,9,6,0.6,45.8,0.5585365853658536,-0.10081018501058203,-0.059346770376435654
12,LAC,0.50733629775,0.430895816875,0.061767885375000005,3.2,6,8,0.429,49.3,0.6012195121951219,0.07833629775,-0.09388321444512193
13,LAL,0.47126155418181814,0.48701281686363634,0.041725628954545464,0.2,9,7,0.562,41.5,0.5060975609756098,-0.09073844581818191,-0.03483600679379162
14,MEM,0.2379096784,0.7123488818222222,0.04974143977777778,-7.3,3,12,0.2,23.3,0.28414634146341466,0.03790967839999998,-0.046236663063414674
15,MIA,0.6858940971527777,0.261892361125,0.05221354172222224,2.0,10,6,0.625,46.1,0.5621951219512196,0.060894097152777715,0.12369897520155815
16,MIL,0.49125434027777776,0.44874131938194445,0.060004340340277774,2.0,11,5,0.688,45.7,0.5573170731707318,-0.1967456597222222,-0.066062732892954
17,MIN,0.5585368350138888,0.39297693921527777,0.04848622577083334,7.0,11,4,0.733,57.8,0.7048780487804878,-0.17446316498611114,-0.14634121376659892
18,NOP,0.6260620913529412,0.3353145424705883,0.0386233661764706,-0.8,9,7,0.562,38.8,0.47317073170731705,0.06406209135294116,0.15289135964562417
19,NYK,0.5902165033529412,0.35624999990849676,0.053533496738562114,4.5,9,6,0.6,52.3,0.6378048780487805,-0.009783496647058798,-0.04758837469583932
20,OKC,0.6542133996666667,0.2949226938666667,0.05086390646666667,9.3,11,4,0.733,62.2,0.7585365853658537,-0.07878660033333329,-0.10432318569918697
21,ORL,0.7219473381574074,0.22970196753240743,0.04835069431018522,5.8,11,5,0.688,55.5,0.676829268292683,0.03394733815740747,0.04511806986472444
22,PHI,0.43875224619047615,0.5028732403809524,0.058374513428571424,7.4,10,5,0.667,58.2,0.7097560975609757,-0.2282477538095239,-0.27100385137049954
23,PHO,0.7304463283888888,0.219064390125,0.05048928148611112,4.8,10,6,0.625,52.5,0.6402439024390244,0.10544632838888879,0.09020242594986438
24,POR,0.18540421915,0.75790913245,0.0566866484,-9.3,4,11,0.267,19.3,0.2353658536585366,-0.08159578085000002,-0.049961634508536606
25,SAC,0.5542522439027777,0.4034128503888889,0.04233490570833334,0.0,9,6,0.6,41.0,0.5,-0.04574775609722226,0.05425224390277772
26,SAS,0.31835619020987654,0.6391087235185186,0.042535086271604954,-11.9,3,13,0.188,15.4,0.1878048780487805,0.13035619020987654,0.13055131216109606
27,TOR,0.3271881551111111,0.6288103974391535,0.04400144744973548,-0.7,8,8,0.5,39.3,0.4792682926829268,-0.1728118448888889,-0.1520801375718157
28,UTA,0.23858556842857143,0.7233437101428571,0.03807072142857143,-7.4,4,11,0.267,24.0,0.2926829268292683,-0.02841443157142859,-0.05409735840069685
29,WAS,0.3752777777407407,0.5722916666962963,0.05243055556296296,-10.1,2,13,0.133,19.0,0.23170731707317074,0.24227777774074072,0.14357046066756998
