,QUARTER,TIME_REMAINING,AWAY_SCORE,HOME_SCORE,POINT_DIFF,TIME_ELAPSED,indicator
88,1,2023-04-01 01:02:00,18,20,-2,0 days 00:02:00,2
89,1,2023-04-01 01:00:00,18,20,-2,0 days 00:04:06,4
90,1,2023-04-01 00:55:54,18,20,-2,0 days 00:02:00,2
91,1,2023-04-01 00:53:54,18,20,-2,0 days 00:10:00,10
92,1,2023-04-01 00:43:54,18,20,-2,0 days 00:02:00,2
93,1,2023-04-01 00:41:54,18,20,-2,0 days 00:12:42,12
94,1,2023-04-01 00:29:12,18,22,-4,0 days 00:18:18,18
95,1,2023-04-01 00:10:54,18,22,-4,0 days 00:02:00,2
96,1,2023-04-01 00:08:54,18,22,-4,0 days 00:06:00,6
97,1,2023-04-01 00:02:54,18,22,-4,0 days 00:02:54,2020-01-01 00:00:00
98,1,2023-04-01 00:00:00,18,22,-4,-1 days +12:00:00,2020-01-01 00:00:00
0,2,2023-04-01 12:00:00,18,22,-4,0 days 00:17:00,2020-01-01 00:00:00
1,2,2023-04-01 11:43:00,18,22,-4,0 days 00:02:00,2
2,2,2023-04-01 11:41:00,18,22,-4,0 days 00:10:00,10
3,2,2023-04-01 11:31:00,18,25,-7,0 days 00:12:00,12
4,2,2023-04-01 11:19:00,18,25,-7,0 days 00:08:00,8
5,2,2023-04-01 11:11:00,18,25,-7,0 days 00:00:00,0
6,2,2023-04-01 11:11:00,19,25,-6,0 days 00:00:00,0
7,2,2023-04-01 11:11:00,20,25,-5,0 days 00:13:00,13
8,2,2023-04-01 10:58:00,20,25,-5,0 days 00:13:00,13
9,2,2023-04-01 10:45:00,20,25,-5,0 days 00:08:00,8
10,2,2023-04-01 10:37:00,20,25,-5,0 days 00:01:00,1
11,2,2023-04-01 10:36:00,20,25,-5,0 days 00:15:00,15
12,2,2023-04-01 10:21:00,20,25,-5,0 days 00:00:00,0
13,2,2023-04-01 10:21:00,20,26,-6,0 days 00:00:00,0
14,2,2023-04-01 10:21:00,20,26,-6,0 days 00:00:00,0
15,2,2023-04-01 10:21:00,20,27,-7,0 days 00:19:00,19
16,2,2023-04-01 10:02:00,20,27,-7,0 days 00:10:00,10
17,2,2023-04-01 09:52:00,20,27,-7,0 days 00:00:00,0
18,2,2023-04-01 09:52:00,20,27,-7,0 days 00:08:00,8
19,2,2023-04-01 09:44:00,20,27,-7,0 days 00:02:00,2
20,2,2023-04-01 09:42:00,20,27,-7,0 days 00:13:00,13
21,2,2023-04-01 09:29:00,20,27,-7,0 days 00:13:00,13
22,2,2023-04-01 09:16:00,20,27,-7,0 days 00:03:00,3
23,2,2023-04-01 09:13:00,20,27,-7,0 days 00:13:00,13
24,2,2023-04-01 09:00:00,20,29,-9,0 days 00:14:00,14
25,2,2023-04-01 08:46:00,20,29,-9,0 days 00:16:00,16
26,2,2023-04-01 08:30:00,20,29,-9,0 days 00:01:00,1
27,2,2023-04-01 08:29:00,20,29,-9,0 days 00:10:00,10
28,2,2023-04-01 08:19:00,20,31,-11,0 days 00:23:00,23
29,2,2023-04-01 07:56:00,20,31,-11,0 days 00:00:00,0
30,2,2023-04-01 07:56:00,21,31,-10,0 days 00:00:00,0
31,2,2023-04-01 07:56:00,22,31,-9,0 days 00:22:00,22
32,2,2023-04-01 07:34:00,22,31,-9,0 days 00:01:00,1
33,2,2023-04-01 07:33:00,22,31,-9,0 days 00:14:00,14
34,2,2023-04-01 07:19:00,25,31,-6,0 days 00:17:00,17
35,2,2023-04-01 07:02:00,25,31,-6,0 days 00:00:00,0
36,2,2023-04-01 07:02:00,25,31,-6,0 days 00:00:00,0
37,2,2023-04-01 07:02:00,25,31,-6,0 days 00:00:00,0
38,2,2023-04-01 07:02:00,25,31,-6,0 days 00:00:00,0
39,2,2023-04-01 07:02:00,25,32,-7,0 days 00:11:00,11
40,2,2023-04-01 06:51:00,25,32,-7,0 days 00:00:00,0
41,2,2023-04-01 06:51:00,26,32,-6,0 days 00:00:00,0
42,2,2023-04-01 06:51:00,26,32,-6,0 days 00:00:00,0
43,2,2023-04-01 06:51:00,27,32,-5,0 days 00:10:00,10
44,2,2023-04-01 06:41:00,27,32,-5,0 days 00:05:00,5
45,2,2023-04-01 06:36:00,29,32,-3,0 days 00:09:00,9
46,2,2023-04-01 06:27:00,29,32,-3,0 days 00:18:00,18
47,2,2023-04-01 06:09:00,29,32,-3,0 days 00:01:00,1
48,2,2023-04-01 06:08:00,29,32,-3,0 days 00:00:00,0
49,2,2023-04-01 06:08:00,29,32,-3,0 days 00:18:00,18
50,2,2023-04-01 05:50:00,29,32,-3,0 days 00:02:00,2
51,2,2023-04-01 05:48:00,29,32,-3,0 days 00:06:00,6
52,2,2023-04-01 05:42:00,29,32,-3,0 days 00:00:00,0
53,2,2023-04-01 05:42:00,29,32,-3,0 days 00:00:00,0
54,2,2023-04-01 05:42:00,29,32,-3,0 days 00:00:00,0
55,2,2023-04-01 05:42:00,29,32,-3,0 days 00:00:00,0
56,2,2023-04-01 05:42:00,29,32,-3,0 days 00:07:00,7
57,2,2023-04-01 05:35:00,29,32,-3,0 days 00:01:00,1
58,2,2023-04-01 05:34:00,29,32,-3,0 days 00:19:00,19
59,2,2023-04-01 05:15:00,31,32,-1,0 days 00:25:00,25
60,2,2023-04-01 04:50:00,31,32,-1,0 days 00:02:00,2
61,2,2023-04-01 04:48:00,31,32,-1,0 days 00:00:00,0
62,2,2023-04-01 04:48:00,31,32,-1,0 days 00:09:00,9
63,2,2023-04-01 04:39:00,31,32,-1,0 days 00:02:00,2
64,2,2023-04-01 04:37:00,31,32,-1,0 days 00:11:00,11
65,2,2023-04-01 04:26:00,31,32,-1,0 days 00:02:00,2
66,2,2023-04-01 04:24:00,31,32,-1,0 days 00:05:00,5
67,2,2023-04-01 04:19:00,31,32,-1,0 days 00:01:00,1
68,2,2023-04-01 04:18:00,31,32,-1,0 days 00:13:00,13
69,2,2023-04-01 04:05:00,31,34,-3,0 days 00:21:00,21
70,2,2023-04-01 03:44:00,31,34,-3,0 days 00:02:00,2
71,2,2023-04-01 03:42:00,31,34,-3,0 days 00:02:00,2
72,2,2023-04-01 03:40:00,31,34,-3,0 days 00:00:00,0
73,2,2023-04-01 03:40:00,31,34,-3,0 days 00:00:00,0
74,2,2023-04-01 03:40:00,31,34,-3,0 days 00:00:00,0
75,2,2023-04-01 03:40:00,31,34,-3,0 days 00:00:00,0
76,2,2023-04-01 03:40:00,31,34,-3,0 days 00:00:00,0
77,2,2023-04-01 03:40:00,31,34,-3,0 days 00:00:00,0
78,2,2023-04-01 03:40:00,31,34,-3,0 days 00:09:00,9
79,2,2023-04-01 03:31:00,31,34,-3,0 days 00:00:00,0
80,2,2023-04-01 03:31:00,31,35,-4,0 days 00:00:00,0
81,2,2023-04-01 03:31:00,31,35,-4,0 days 00:00:00,0
82,2,2023-04-01 03:31:00,31,36,-5,0 days 00:14:00,14
83,2,2023-04-01 03:17:00,33,36,-3,0 days 00:28:00,28
84,2,2023-04-01 02:49:00,33,39,-6,0 days 00:09:00,9
85,2,2023-04-01 02:40:00,33,39,-6,0 days 00:00:00,0
86,2,2023-04-01 02:40:00,33,39,-6,0 days 00:00:00,0
87,2,2023-04-01 02:40:00,34,39,-5,0 days 00:00:00,0
88,2,2023-04-01 02:40:00,35,39,-4,0 days 00:19:00,19
89,2,2023-04-01 02:21:00,35,39,-4,0 days 00:01:00,1
90,2,2023-04-01 02:20:00,35,39,-4,0 days 00:20:00,20
91,2,2023-04-01 02:00:00,35,39,-4,0 days 00:00:00,0
92,2,2023-04-01 02:00:00,36,39,-3,0 days 00:00:00,0
93,2,2023-04-01 02:00:00,37,39,-2,0 days 00:10:00,10
94,2,2023-04-01 01:50:00,37,39,-2,0 days 00:00:00,0
95,2,2023-04-01 01:50:00,37,40,-3,0 days 00:00:00,0
96,2,2023-04-01 01:50:00,37,41,-4,0 days 00:18:00,18
97,2,2023-04-01 01:32:00,37,41,-4,0 days 00:01:00,1
98,2,2023-04-01 01:31:00,37,41,-4,0 days 00:08:00,8
99,2,2023-04-01 01:23:00,37,41,-4,0 days 00:01:00,1
100,2,2023-04-01 01:22:00,37,41,-4,0 days 00:16:00,16
101,2,2023-04-01 01:06:00,39,41,-2,0 days 00:16:12,16
102,2,2023-04-01 00:49:48,39,41,-2,0 days 00:01:00,1
103,2,2023-04-01 00:48:48,39,41,-2,0 days 00:00:00,0
104,2,2023-04-01 00:48:48,39,41,-2,0 days 00:01:00,1
105,2,2023-04-01 00:47:48,39,41,-2,0 days 00:06:42,6
106,2,2023-04-01 00:41:06,39,41,-2,0 days 00:00:00,0
107,2,2023-04-01 00:41:06,39,42,-3,0 days 00:00:00,0
108,2,2023-04-01 00:41:06,39,42,-3,0 days 00:00:00,0
109,2,2023-04-01 00:41:06,39,43,-4,0 days 00:10:06,10
110,2,2023-04-01 00:31:00,39,43,-4,0 days 00:00:00,0
111,2,2023-04-01 00:31:00,39,43,-4,0 days 00:00:00,0
112,2,2023-04-01 00:31:00,39,43,-4,0 days 00:16:06,16
113,2,2023-04-01 00:14:54,39,43,-4,0 days 00:01:06,1
114,2,2023-04-01 00:13:48,39,43,-4,0 days 00:12:00,12
115,2,2023-04-01 00:01:48,42,43,-1,0 days 00:01:12,1
116,2,2023-04-01 00:00:36,42,43,-1,0 days 00:00:36,0
117,2,2023-04-01 00:00:00,42,43,-1,0 days 00:00:00,0
118,2,2023-04-01 00:00:00,42,43,-1,-1 days +12:00:00,2020-01-01 00:00:00
0,3,2023-04-01 12:00:00,42,43,-1,0 days 00:12:00,2020-01-01 00:00:00
1,3,2023-04-01 11:48:00,42,43,-1,0 days 00:01:00,1
2,3,2023-04-01 11:47:00,42,43,-1,0 days 00:23:00,23
3,3,2023-04-01 11:24:00,42,43,-1,0 days 00:01:00,1
4,3,2023-04-01 11:23:00,42,43,-1,0 days 00:16:00,16
5,3,2023-04-01 11:07:00,42,43,-1,0 days 00:01:00,1
6,3,2023-04-01 11:06:00,42,43,-1,0 days 00:19:00,19
7,3,2023-04-01 10:47:00,42,43,-1,0 days 00:01:00,1
8,3,2023-04-01 10:46:00,42,43,-1,0 days 00:15:00,15
9,3,2023-04-01 10:31:00,42,43,-1,0 days 00:01:00,1
10,3,2023-04-01 10:30:00,42,43,-1,0 days 00:13:00,13
11,3,2023-04-01 10:17:00,42,43,-1,0 days 00:01:00,1
12,3,2023-04-01 10:16:00,42,43,-1,0 days 00:01:00,1
13,3,2023-04-01 10:15:00,42,45,-3,0 days 00:18:00,18
14,3,2023-04-01 09:57:00,42,45,-3,0 days 00:01:00,1
15,3,2023-04-01 09:56:00,42,45,-3,0 days 00:06:00,6
16,3,2023-04-01 09:50:00,42,47,-5,0 days 00:27:00,27
17,3,2023-04-01 09:23:00,42,47,-5,0 days 00:14:00,14
18,3,2023-04-01 09:09:00,42,49,-7,0 days 00:01:00,1
19,3,2023-04-01 09:08:00,42,49,-7,0 days 00:19:00,19
20,3,2023-04-01 08:49:00,44,49,-5,0 days 00:17:00,17
21,3,2023-04-01 08:32:00,44,49,-5,0 days 00:02:00,2
22,3,2023-04-01 08:30:00,44,49,-5,0 days 00:04:00,4
23,3,2023-04-01 08:26:00,44,49,-5,0 days 00:01:00,1
24,3,2023-04-01 08:25:00,44,49,-5,0 days 00:04:00,4
