,DATE,AWAY_TEAM,HOME_TEAM,AWAY_WP,HOME_WP
0,2022-10-18,PHI,BOS,0.32569444444444445,0.5944444444444444
1,2022-10-18,LAL,GSW,0.013194444444444444,0.8996527777777777
2,2022-10-19,ORL,DET,0.4010416666666667,0.5607638888888888
3,2022-10-19,WAS,IND,0.9947916666666666,0.0
4,2022-10-19,HOU,ATL,0.1326388888888889,0.8253472222222222
5,2022-10-19,NOP,BRK,0.9774305555555556,0.0
6,2022-10-19,NYK,MEM,0.011320754716981131,0.8877358490566037
7,2022-10-19,CHI,MIA,0.5069444444444444,0.4621527777777778
8,2022-10-19,CLE,TOR,0.48125,0.3350694444444444
9,2022-10-19,OKC,MIN,0.05381944444444445,0.8961805555555555
10,2022-10-19,CHO,SAS,0.9888888888888889,0.0
11,2022-10-19,DEN,UTA,0.07569444444444444,0.9125
12,2022-10-19,DAL,PHO,0.8541666666666666,0.07708333333333334
13,2022-10-19,POR,SAC,0.43645833333333334,0.4548611111111111
14,2022-10-20,MIL,PHI,0.8506944444444444,0.023958333333333335
15,2022-10-20,LAC,LAL,0.8118055555555556,0.08506944444444445
16,2022-10-21,NOP,CHO,0.9815972222222222,0.0
17,2022-10-21,SAS,IND,0.9934027777777777,0.0
18,2022-10-21,CHI,WAS,0.26840277777777777,0.6788194444444444
19,2022-10-21,ORL,ATL,0.5027777777777778,0.37604166666666666
20,2022-10-21,TOR,BRK,0.38784722222222223,0.5270833333333333
21,2022-10-21,BOS,MIA,0.8326388888888889,0.12465277777777778
22,2022-10-21,DET,NYK,0.021875,0.9503472222222222
23,2022-10-21,MEM,HOU,0.32916666666666666,0.5673611111111111
24,2022-10-21,UTA,MIN,0.29245283018867924,0.6496855345911949
25,2022-10-21,DEN,GSW,0.8913194444444444,0.06770833333333333
26,2022-10-21,PHO,POR,0.7468553459119497,0.1169811320754717
27,2022-10-22,SAS,PHI,0.534375,0.28229166666666666
28,2022-10-22,DET,IND,0.5291666666666667,0.46493055555555557
29,2022-10-22,BOS,ORL,0.5881944444444445,0.24027777777777778
30,2022-10-22,CLE,CHI,0.8395833333333333,0.13090277777777778
31,2022-10-22,TOR,MIA,0.019097222222222224,0.9440972222222223
32,2022-10-22,HOU,MIL,0.0,0.9861111111111112
33,2022-10-22,MEM,DAL,0.0,0.9822916666666667
34,2022-10-22,OKC,DEN,0.19409722222222223,0.678125
35,2022-10-22,LAC,SAC,0.6861111111111111,0.2777777777777778
36,2022-10-23,POR,LAL,0.4861111111111111,0.44583333333333336
37,2022-10-23,CHO,ATL,0.7170138888888888,0.23541666666666666
38,2022-10-23,WAS,CLE,0.2468553459119497,0.7163522012578616
