DATE,AWAY_TEAM,HOME_TEAM
Nov 12 2022,POR,DAL
Nov 12 2022,HOU,NOP
Nov 13 2022,OKC,NYK
Nov 13 2022,MIN,CLE
Nov 13 2022,MEM,WAS
Nov 13 2022,UTA,PHI
Nov 13 2022,DEN,CHI
Nov 13 2022,GSW,SAC
Nov 13 2022,BRK,LAL
Nov 14 2022,TOR,DET
Nov 14 2022,CHO,ORL
Nov 14 2022,OKC,BOS
Nov 14 2022,PHO,MIA
Nov 14 2022,LAC,HOU
Nov 14 2022,ATL,MIL
Nov 14 2022,SAS,GSW
Nov 15 2022,MEM,NOP
Nov 15 2022,LAC,DAL
Nov 15 2022,NYK,UTA
Nov 15 2022,SAS,POR
Nov 15 2022,BRK,SAC
Nov 16 2022,IND,CHO
Nov 16 2022,MIN,ORL
Nov 16 2022,OKC,WAS
Nov 16 2022,BOS,ATL
Nov 16 2022,MIA,TOR
Nov 16 2022,CLE,MIL
Nov 16 2022,CHI,NOP
Nov 16 2022,HOU,DAL
Nov 16 2022,NYK,DEN
Nov 16 2022,GSW,PHO
Nov 17 2022,BRK,POR
Nov 17 2022,SAS,SAC
Nov 17 2022,DET,LAC
Nov 18 2022,MIA,WAS
Nov 18 2022,CHO,CLE
Nov 18 2022,MIL,PHI
Nov 18 2022,ORL,CHI
Nov 18 2022,IND,HOU
Nov 18 2022,OKC,MEM
Nov 18 2022,DEN,DAL
Nov 18 2022,BOS,NOP
Nov 18 2022,PHO,UTA
Nov 18 2022,NYK,GSW
Nov 18 2022,DET,LAL
Nov 19 2022,TOR,ATL
Nov 19 2022,ORL,IND
Nov 19 2022,MIN,PHI
Nov 19 2022,UTA,POR
Nov 19 2022,SAS,LAC
Nov 20 2022,NYK,PHO
Nov 20 2022,DET,SAC
Nov 20 2022,CHO,WAS
Nov 20 2022,MEM,BRK
Nov 20 2022,MIA,CLE
Nov 20 2022,GSW,HOU
Nov 20 2022,DEN,DAL
Nov 20 2022,SAS,LAL
Nov 21 2022,ATL,CLE
Nov 21 2022,ORL,IND
Nov 21 2022,BOS,CHI
Nov 21 2022,POR,MIL
Nov 21 2022,MIA,MIN
Nov 21 2022,GSW,NOP
Nov 21 2022,NYK,OKC
Nov 21 2022,UTA,LAC
Nov 22 2022,BRK,PHI
Nov 22 2022,SAC,MEM
Nov 22 2022,DET,DEN
Nov 22 2022,LAL,PHO
Nov 23 2022,PHI,CHO
Nov 23 2022,POR,CLE
Nov 23 2022,MIN,IND
Nov 23 2022,SAC,ATL
Nov 23 2022,DAL,BOS
