,DATE,AWAY_TEAM,HOME_TEAM,AWAY_WP,HOME_WP
0,10/18/22,PHI,BOS,0.325694444,0.594444444
1,10/18/22,LAL,GSW,0.013194444,0.899652778
2,10/19/22,ORL,DET,0.401041667,0.560763889
3,10/19/22,WAS,IND,0.994791667,0
4,10/19/22,HOU,ATL,0.132638889,0.825347222
5,10/19/22,NOP,BRK,0.977430556,0
6,10/19/22,NYK,MEM,0.011320755,0.887735849
7,10/19/22,CHI,MIA,0.506944444,0.462152778
8,10/19/22,CLE,TOR,0.48125,0.335069444
9,10/19/22,OKC,MIN,0.053819444,0.896180556
10,10/19/22,CHO,SAS,0.988888889,0
11,10/19/22,DEN,UTA,0.075694444,0.9125
12,10/19/22,DAL,PHO,0.854166667,0.077083333
13,10/19/22,POR,SAC,0.436458333,0.454861111
,,,,,
